policy,bw_mbit,obj_label,client,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total,fct_ms_median_iter_mean,fct_ms_median_iter_std,goodput_mbps_median_iter_mean,goodput_mbps_median_iter_std,trasferimento_ms_median_iter_mean,trasferimento_ms_median_iter_std,retrans_median_iter_mean,retrans_median_iter_std,srtt_ms_median_iter_mean,srtt_ms_median_iter_std,iw_applied_median_iter_mean,iw_applied_median_iter_std,max_cwnd_median_iter_mean,max_cwnd_median_iter_std,retrans_flow_pct_iter_mean,retrans_flow_pct_iter_std
ewma,20,10K,h2,10240,6.0,150,10,17.257,17.254,0.2311,17.5923,4.7479,4.7479,0.063,4.8319,10.6622,10.6585,0.2142,10.9318,0.0,0.0,0.0,0.0,7.234,7.2195,0.0761,7.3612,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,17.2658,0.0528,4.7447,0.0145,10.6525,0.0453,0.0,0.0,7.2219,0.0265,10.0,0.0,18.0,0.0,0.0,0.0
ewma,20,10K,h3,10240,22.0,150,10,58.1358,58.5685,2.7607,62.0291,1.4124,1.3987,0.0692,1.5517,31.2105,31.705,1.787,33.2569,0.0,0.0,0.0,0.0,26.6772,26.6265,1.13,28.4181,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,58.6221,0.7733,1.3976,0.0184,31.6785,0.2037,0.0,0.0,26.6102,0.2211,10.0,0.0,18.0,0.0,0.0,0.0
ewma,20,10K,h4,10240,52.0,150,10,129.5113,130.0835,6.3249,139.0782,0.6341,0.6298,0.0315,0.6897,65.7664,65.8465,4.47,72.7056,0.0,0.0,0.0,0.0,62.0736,62.324,3.5637,67.4566,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,129.4,3.3156,0.6334,0.0161,66.1026,1.6212,0.0,0.0,62.0951,1.3616,10.0,0.0,18.0,0.0,0.0,0.0
lossaware,20,10K,h2,10240,6.0,150,10,17.2634,17.241,0.2287,17.595,4.7461,4.7515,0.0617,4.8341,10.6615,10.666,0.217,10.9256,0.0,0.0,0.0,0.0,7.2451,7.24,0.0764,7.3706,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,17.2502,0.0442,4.749,0.0121,10.6533,0.0477,0.0,0.0,7.239,0.0146,10.0,0.0,18.0,0.0,0.0,0.0
lossaware,20,10K,h3,10240,22.0,150,10,58.6446,59.0615,2.2217,61.6247,1.3989,1.387,0.0547,1.4959,31.3968,31.749,1.6499,33.365,0.0,0.0,0.0,0.0,26.7653,26.628,1.0399,28.4789,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,58.7649,0.9825,1.3944,0.0233,31.6996,0.2486,0.0,0.0,26.6497,0.3563,10.0,0.0,18.0,0.0,0.0,0.0
lossaware,20,10K,h4,10240,52.0,150,10,128.7157,129.46,5.4774,136.2077,0.6376,0.6328,0.028,0.6919,65.0479,65.4075,4.0768,71.8206,0.0,0.0,0.0,0.0,61.304,61.3895,3.1267,66.1604,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,129.6453,1.57,0.632,0.0076,65.5683,0.9893,0.0,0.0,61.3404,1.6554,10.0,0.0,18.0,0.0,0.0,0.0
lossaware-disc,20,10K,h2,10240,6.0,150,10,17.2609,17.2365,0.23,17.6717,4.7468,4.7527,0.0626,4.8322,10.6507,10.634,0.2149,10.9876,0.0,0.0,0.0,0.0,7.2455,7.2355,0.078,7.3811,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,17.214,0.0495,4.759,0.0137,10.6506,0.0662,0.0,0.0,7.2321,0.03,10.0,0.0,18.0,0.0,0.0,0.0
lossaware-disc,20,10K,h3,10240,22.0,150,10,57.9699,58.405,2.4194,61.2371,1.4157,1.4026,0.0613,1.523,31.2409,31.6855,1.7283,33.3132,0.0,0.0,0.0,0.0,26.5779,26.482,1.0765,28.4134,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,58.5487,0.4009,1.3992,0.0096,31.6202,0.2467,0.0,0.0,26.587,0.313,10.0,0.0,18.0,0.0,0.0,0.0
lossaware-disc,20,10K,h4,10240,52.0,150,10,128.6784,128.7415,5.4165,137.68,0.6378,0.6363,0.0271,0.6761,64.8334,64.5365,3.9251,71.5751,0.0,0.0,0.0,0.0,61.7217,61.5335,3.136,66.4267,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,128.475,2.521,0.6379,0.0125,64.9531,1.8228,0.0,0.0,61.5678,0.9104,10.0,0.0,18.0,0.0,0.0,0.0
metrics,20,10K,h2,10240,6.0,150,10,17.2537,17.203,0.3081,17.7314,4.7494,4.762,0.0823,4.8595,10.6621,10.6215,0.2637,11.1152,0.0,0.0,0.0,0.0,7.2527,7.2285,0.1013,7.43,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0,17.2012,0.0976,4.7626,0.0273,10.6126,0.0745,0.0,0.0,7.2314,0.0292,10.0,0.0,18.0,0.0,0.0,0.0
