policy,bw_mbit,obj_label,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
ewma,20,10K,10240,,450,10,68.3014,58.5685,46.6096,136.2158,2.2648,1.3987,1.7872,4.8163,35.8797,31.705,22.9311,71.2416,0.0,0.0,0.0,0.0,31.9949,26.6265,22.8289,65.7283,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0
lossaware,20,10K,10240,,450,10,68.2079,59.0615,46.1771,133.8436,2.2609,1.387,1.7873,4.7995,35.7021,31.749,22.5788,69.5336,0.0,0.0,0.0,0.0,31.7715,26.628,22.4569,64.769,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0
lossaware-disc,20,10K,10240,,450,10,67.9697,58.405,46.2103,134.382,2.2667,1.4026,1.785,4.7991,35.575,31.6855,22.4926,69.1951,0.0,0.0,0.0,0.0,31.8484,26.482,22.6557,65.2361,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0
metrics,20,10K,10240,,450,10,67.4861,57.851,45.9142,135.2754,2.274,1.4161,1.7828,4.8203,35.3925,31.3805,22.5131,69.3665,0.0,0.0,0.0,0.0,31.5586,26.277,22.4639,65.5196,10.0,10.0,0.0,10.0,18.0022,18.0,0.0471,18.0,0.0,0
static10,20,10K,10240,,450,10,67.6924,58.317,46.0812,135.5614,2.2717,1.4047,1.7841,4.8235,35.3455,31.5625,22.3881,69.5941,0.0,0.0,0.0,0.0,31.6423,26.472,22.4772,65.1915,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0
statichigh,20,10K,10240,,450,10,67.6283,57.6735,46.0961,134.9579,2.2765,1.4204,1.7889,4.8329,35.494,31.346,22.6291,70.0682,0.0,0.0,0.0,0.0,31.8557,26.407,22.4107,65.3987,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0
ewma,20,10M,10485760,,450,10,4467.2898,4438.1245,72.3109,4561.1241,18.7827,18.9012,0.3004,19.082,4434.6687,4410.877,50.1938,4496.1764,0.6756,0.0,1.4489,5.0,30.8006,26.7405,18.7628,55.6305,72.9133,87.0,35.8377,110.0,86.0978,102.0,38.0636,126.0,23.556,0
lossaware,20,10M,10485760,,450,10,4467.6855,4437.802,78.0758,4562.6078,18.7817,18.9026,0.3172,19.0821,4434.9347,4410.883,57.8081,4495.0885,0.0867,0.0,0.4049,0.0,30.8155,26.7715,18.7262,55.6141,70.1956,87.0,38.8456,110.0,85.2267,102.0,39.4032,126.0,4.444,141
lossaware-disc,20,10M,10485760,,450,10,4468.2232,4438.286,83.1143,4561.6251,18.7801,18.9006,0.3335,19.0816,4435.6471,4410.739,64.3372,4494.7071,0.0933,0.0,0.4768,0.0,30.8064,26.7275,18.7165,55.61,70.1978,87.0,38.6855,110.0,85.0244,102.0,39.0286,126.0,4.444,141
metrics,20,10M,10485760,,450,10,4533.9675,4470.9845,178.114,4732.515,18.528,18.7623,0.6725,19.0778,4501.0942,4443.939,159.9481,4698.662,0.0022,0.0,0.0471,0.0,30.1861,25.1205,18.9116,55.5936,10.0,10.0,0.0,10.0,71.2311,61.0,40.7929,128.0,0.222,0
static10,20,10M,10485760,,450,10,4526.7706,4470.346,164.5504,4676.8795,18.5538,18.765,0.6267,19.0787,4494.3074,4443.2695,146.2017,4609.7438,0.0,0.0,0.0,0.0,30.1751,25.087,18.9161,55.556,10.0,10.0,0.0,10.0,71.8756,61.0,41.8239,128.0,0.0,0
statichigh,20,10M,10485760,,450,10,4474.3248,4445.3215,77.6321,4588.5585,18.7539,18.8706,0.3224,19.0816,4441.847,4418.683,54.3458,4523.2941,0.0,0.0,0.0,0.0,30.3615,25.208,19.0355,56.3289,24.0,24.0,0.0,24.0,74.1267,47.0,48.1149,142.0,0.0,0
ewma,20,1K,1024,,450,10,66.1703,56.7075,47.5884,136.1875,0.2712,0.1445,0.2386,0.6232,33.6781,29.741,23.819,70.1243,0.0,0.0,0.0,0.0,32.9513,29.5005,23.4383,68.0141,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
lossaware,20,1K,1024,,450,10,66.3128,56.684,47.8728,136.1436,0.2729,0.1445,0.2412,0.6244,33.7099,29.6215,24.0136,71.3356,0.0,0.0,0.0,0.0,33.1158,29.794,23.6031,68.0253,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
