policy,bw_mbit,obj_label,client,iteration,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
ewma,20,10K,h2,1,10240,6.0,15,1,17.2173,17.259,0.185,17.484,4.7585,4.7465,0.0511,4.829,10.6723,10.667,0.1905,10.9214,0.0,0,0.0,0.0,7.2545,7.276,0.0751,7.3533,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h2,2,10240,6.0,15,1,17.1537,17.186,0.2004,17.4015,4.7763,4.7667,0.0566,4.8538,10.5619,10.572,0.1834,10.8203,0.0,0,0.0,0.0,7.2197,7.206,0.0981,7.3675,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h2,3,10240,6.0,15,1,17.3521,17.314,0.3228,17.8398,4.7225,4.7314,0.0849,4.8157,10.7671,10.71,0.2761,11.1233,0.0,0,0.0,0.0,7.2527,7.213,0.1116,7.4612,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h2,4,10240,6.0,15,1,17.2603,17.232,0.2019,17.5158,4.7467,4.7539,0.0555,4.821,10.6385,10.667,0.1833,10.8521,0.0,0,0.0,0.0,7.2247,7.225,0.0664,7.3202,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h2,5,10240,6.0,15,1,17.2393,17.257,0.1836,17.469,4.7524,4.7471,0.0508,4.8337,10.6519,10.64,0.1616,10.8595,0.0,0,0.0,0.0,7.2028,7.186,0.0632,7.2999,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h2,6,10240,6.0,15,1,17.2321,17.218,0.2699,17.6494,4.755,4.7578,0.073,4.8328,10.6267,10.626,0.264,10.9685,0.0,0,0.0,0.0,7.2441,7.217,0.0777,7.3696,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h2,7,10240,6.0,15,1,17.3411,17.355,0.2193,17.6818,4.7247,4.7203,0.0596,4.8086,10.7185,10.687,0.1602,10.9983,0.0,0,0.0,0.0,7.2202,7.196,0.0601,7.3199,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h2,8,10240,6.0,15,1,17.2542,17.303,0.2015,17.5213,4.7484,4.7344,0.0555,4.8226,10.6396,10.713,0.2398,10.9176,0.0,0,0.0,0.0,7.2502,7.25,0.0629,7.3398,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h2,9,10240,6.0,15,1,17.2046,17.225,0.2452,17.5565,4.7624,4.7559,0.0679,4.8606,10.6427,10.604,0.2274,10.9319,0.0,0,0.0,0.0,7.2221,7.214,0.0632,7.3183,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h2,10,10240,6.0,15,1,17.3153,17.309,0.2361,17.6408,4.7319,4.7328,0.0645,4.8214,10.7033,10.639,0.2166,11.027,0.0,0,0.0,0.0,7.2485,7.236,0.0684,7.3469,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h3,1,10240,22.0,15,1,58.9911,58.631,2.3501,62.2794,1.3907,1.3972,0.055,1.4798,31.558,31.732,1.1904,33.169,0.0,0,0.0,0.0,26.8437,26.799,1.0887,28.3218,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h3,2,10240,22.0,15,1,58.8838,59.874,2.6076,61.9712,1.3938,1.3682,0.0632,1.4992,30.9229,31.907,2.2665,33.1256,0.0,0,0.0,0.0,26.7797,26.635,1.2714,28.4937,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h3,3,10240,22.0,15,1,57.8373,58.441,3.2459,62.0882,1.4207,1.4018,0.0821,1.5698,31.0848,31.326,1.6949,33.3313,0.0,0,0.0,0.0,26.6149,26.626,1.1929,28.4257,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h3,4,10240,22.0,15,1,58.8307,58.635,1.8751,61.4955,1.3938,1.3971,0.0437,1.4579,31.6599,31.684,1.2024,33.2001,0.0,0,0.0,0.0,27.1352,26.955,0.8084,28.6632,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h3,5,10240,22.0,15,1,57.0341,57.584,2.6457,60.1728,1.4394,1.4226,0.07,1.5361,30.6238,31.489,2.0835,32.8904,0.0,0,0.0,0.0,26.1816,26.169,0.878,27.4813,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h3,6,10240,22.0,15,1,57.3093,57.817,2.4909,59.6596,1.4321,1.4169,0.0665,1.5499,31.1154,31.59,1.7922,33.0663,0.0,0,0.0,0.0,26.3789,26.433,1.1709,27.8552,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h3,7,10240,22.0,15,1,58.2431,58.949,2.417,61.0773,1.4088,1.3897,0.0594,1.4969,31.7914,31.983,1.1758,33.2382,0.0,0,0.0,0.0,26.6275,26.592,1.1037,28.0796,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h3,8,10240,22.0,15,1,58.2967,59.475,3.3995,62.0208,1.4099,1.3774,0.0865,1.5783,31.0133,31.502,2.0173,32.8329,0.0,0,0.0,0.0,26.7047,26.744,1.2655,28.3402,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h3,9,10240,22.0,15,1,57.8561,57.656,3.6352,62.1437,1.4213,1.4208,0.0915,1.5776,31.1267,31.827,2.244,33.1745,0.0,0,0.0,0.0,26.7452,26.437,1.331,28.4736,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h3,10,10240,22.0,15,1,58.0755,59.159,2.6007,61.5802,1.4132,1.3847,0.0634,1.5007,31.2084,31.745,1.9581,33.3107,0.0,0,0.0,0.0,26.7602,26.712,1.1553,28.3721,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h4,1,10240,52.0,15,1,133.148,135.553,6.4734,139.6985,0.6167,0.6043,0.0317,0.6773,67.2484,68.544,4.704,72.7292,0.0,0,0.0,0.0,62.9782,63.656,3.5757,67.8914,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
ewma,20,10K,h4,2,10240,52.0,15,1,130.517,131.887,4.164,136.5096,0.6283,0.6211,0.0202,0.6583,65.9679,65.91,3.0015,71.7419,0.0,0,0.0,0.0,61.7213,61.995,2.857,65.5405,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
