policy,bw_mbit,obj_label,client,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total,fct_ms_median_iter_mean,fct_ms_median_iter_std,goodput_mbps_median_iter_mean,goodput_mbps_median_iter_std,trasferimento_ms_median_iter_mean,trasferimento_ms_median_iter_std,retrans_median_iter_mean,retrans_median_iter_std,srtt_ms_median_iter_mean,srtt_ms_median_iter_std,iw_applied_median_iter_mean,iw_applied_median_iter_std,max_cwnd_median_iter_mean,max_cwnd_median_iter_std,retrans_flow_pct_iter_mean,retrans_flow_pct_iter_std
statichigh,20,1M,h2,1048576,6.0,150,10,450.3902,450.229,4.6312,456.7534,18.6271,18.6319,0.1825,18.816,443.7038,443.4445,4.6018,450.0551,0.0,0.0,0.0,0.0,10.0867,10.0675,0.3132,10.3381,24.0,24.0,0.0,24.0,33.5133,34.0,0.5147,34.0,0.0,0,449.908,1.1556,18.6453,0.0478,443.2697,1.1083,0.0,0.0,10.0591,0.0374,24.0,0.0,33.6,0.5164,0.0,0.0
statichigh,20,1M,h3,1048576,22.0,150,10,495.5046,495.049,5.9985,501.9951,16.9318,16.945,0.1958,17.1204,470.3973,469.819,5.9645,477.4609,0.0,0.0,0.0,0.0,25.278,25.1845,0.4119,26.0444,24.0,24.0,0.0,24.0,49.02,47.0,9.3,69.0,0.0,0,494.7194,1.4409,16.9564,0.0493,469.6156,1.2859,0.0,0.0,25.1841,0.009,24.0,0.0,47.0,0.0,0.0,0.0
statichigh,20,1M,h4,1048576,52.0,150,10,618.7531,618.4045,5.268,626.1693,13.5582,13.5649,0.1143,13.7209,559.8757,559.781,4.391,565.332,0.0,0.0,0.0,0.0,55.363,55.2735,0.2929,55.791,24.0,24.0,0.0,24.0,141.96,141.0,9.6112,142.0,0.0,0,618.7513,1.489,13.5574,0.0327,559.6256,1.2706,0.0,0.0,55.296,0.0679,24.0,0.0,141.1,0.3162,0.0,0.0
statichigh-bpf,20,1M,h2,1048576,6.0,150,10,450.3619,449.651,5.7007,454.4729,18.6292,18.6558,0.2231,18.8239,443.6518,442.903,5.6641,447.7409,0.0,0.0,0.0,0.0,10.0906,10.0885,0.2248,10.2362,24.0,24.0,0.0,24.0,33.5,33.0,0.5526,34.0,0.0,0,449.6398,0.807,18.6563,0.0334,442.9773,0.7649,0.0,0.0,10.0742,0.0291,24.0,0.0,33.3,0.483,0.0,0.0
statichigh-bpf,20,1M,h3,1048576,22.0,150,10,494.2933,494.5375,3.2266,498.9078,16.9716,16.9625,0.1102,17.1497,469.0586,469.0205,3.0077,473.4737,0.0,0.0,0.0,0.0,25.2427,25.181,0.2874,25.74,24.0,24.0,0.0,24.0,49.1333,47.0,10.072,58.55,0.0,0,494.3492,0.9543,16.969,0.0328,468.9563,0.7333,0.0,0.0,25.1787,0.0118,24.0,0.0,47.0,0.0,0.0,0.0
statichigh-bpf,20,1M,h4,1048576,52.0,150,10,619.0707,618.837,6.8877,625.6839,13.5519,13.5554,0.1464,13.7523,560.3515,560.3715,6.4948,566.269,0.0,0.0,0.0,0.0,55.4467,55.264,0.7214,56.4786,24.0,24.0,0.0,24.0,143.4667,141.0,12.0823,142.0,0.0,0,618.4588,1.7124,13.5638,0.0377,560.488,0.635,0.0,0.0,55.2677,0.0456,24.0,0.0,141.0,0.0,0.0,0.0
statichigh,20,200K,h2,204800,6.0,150,10,98.4627,98.311,0.7719,99.7297,16.6408,16.6655,0.1279,16.7721,91.7518,91.578,0.7172,92.8263,0.0,0.0,0.0,0.0,9.967,9.958,0.2357,10.138,24.0,24.0,0.0,24.0,33.4067,33.0,0.5446,34.0,0.0,0,98.2823,0.2671,16.6705,0.0453,91.6061,0.2154,0.0,0.0,9.9575,0.0273,24.0,0.0,33.3,0.483,0.0,0.0
statichigh,20,200K,h3,204800,22.0,150,10,142.8707,143.25,1.5057,144.6733,11.469,11.4373,0.1212,11.6977,117.8254,118.075,0.9291,118.7455,0.0,0.0,0.0,0.0,25.1371,25.083,0.4326,25.2251,24.0,24.0,0.0,24.0,47.5933,47.0,5.3308,47.0,0.0,0,143.1809,0.6118,11.4431,0.049,118.0789,0.1855,0.0,0.0,25.0842,0.0221,24.0,0.0,47.0,0.0,0.0,0.0
statichigh,20,200K,h4,204800,52.0,150,10,268.0598,267.8845,4.5795,273.7425,6.1138,6.1161,0.1007,6.2652,208.7856,208.6995,3.9558,212.887,0.0,0.0,0.0,0.0,55.7583,55.759,0.1609,56.0012,24.0,24.0,0.0,24.0,142.1267,142.0,8.2244,143.0,0.0,0,268.3141,1.5667,6.1065,0.0356,208.8003,1.0935,0.0,0.0,55.755,0.0163,24.0,0.0,142.0,0.0,0.0,0.0
statichigh-bpf,20,200K,h2,204800,6.0,150,10,98.6343,98.4415,1.2606,99.8575,16.6134,16.6434,0.1981,16.7743,91.9106,91.6885,1.1683,93.161,0.0,0.0,0.0,0.0,9.949,9.9595,0.1736,10.046,24.0,24.0,0.0,24.0,33.52,33.0,1.5358,34.0,0.0,0,98.4732,0.417,16.6383,0.0703,91.7435,0.3878,0.0,0.0,9.9576,0.0207,24.0,0.0,33.2,0.4216,0.0,0.0
statichigh-bpf,20,200K,h3,204800,22.0,150,10,143.2907,143.531,1.7194,145.4728,11.4357,11.415,0.1363,11.6629,118.2116,118.22,1.3486,120.0553,0.0,0.0,0.0,0.0,25.1364,25.0785,0.3576,25.2702,24.0,24.0,0.0,24.0,47.3667,47.0,3.1716,47.0,0.0,0,143.4262,0.6199,11.4235,0.0497,118.375,0.5204,0.0,0.0,25.0835,0.0338,24.0,0.0,47.0,0.0,0.0,0.0
statichigh-bpf,20,200K,h4,204800,52.0,150,10,268.1378,268.136,4.0775,274.7877,6.1117,6.1103,0.0932,6.2536,209.3219,209.445,3.3205,213.5478,0.0,0.0,0.0,0.0,55.8177,55.7435,0.4748,55.985,24.0,24.0,0.0,24.0,143.66,142.0,6.4035,167.0,0.0,0,267.8887,2.1737,6.1163,0.0494,209.4519,1.4919,0.0,0.0,55.7531,0.0339,24.0,0.0,142.0,0.0,0.0,0.0
