policy,bw_mbit,obj_label,client,iteration,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
statichigh,20,1M,h2,1,1048576,6.0,15,1,450.8323,450.635,0.8121,452.0152,18.607,18.6151,0.0334,18.6483,444.2657,444.137,0.7114,445.2923,0.0,0,0.0,0.0,10.0739,10.066,0.1495,10.3883,24.0,24,0.0,24.0,33.6667,34,0.488,34.0,0.0,0
statichigh,20,1M,h2,2,1048576,6.0,15,1,450.7751,450.542,4.0118,457.9599,18.6107,18.6189,0.1649,18.8549,443.9133,443.819,3.9929,451.3348,0.0,0,0.0,0.0,10.0531,10.032,0.0957,10.1779,24.0,24,0.0,24.0,33.4667,33,0.5164,34.0,0.0,0
statichigh,20,1M,h2,3,1048576,6.0,15,1,452.046,451.081,4.8537,460.2167,18.559,18.5967,0.1976,18.8013,445.3497,444.378,4.8852,453.4773,0.0,0,0.0,0.0,10.2793,10.044,0.9405,11.314,24.0,24,0.0,24.0,33.6,34,0.5071,34.0,0.0,0
statichigh,20,1M,h2,4,1048576,6.0,15,1,449.8414,449.634,2.7879,453.859,18.6486,18.6565,0.1151,18.7831,443.1072,442.898,2.6915,446.8623,0.0,0,0.0,0.0,10.0573,10.066,0.0742,10.1694,24.0,24,0.0,24.0,33.6,34,0.5071,34.0,0.0,0
statichigh,20,1M,h2,5,1048576,6.0,15,1,449.4871,448.825,3.0169,453.6407,18.6634,18.6902,0.124,18.8028,442.7585,442.125,2.9821,446.8315,0.0,0,0.0,0.0,10.0687,10.087,0.0895,10.1569,24.0,24,0.0,24.0,33.2667,33,0.4577,34.0,0.0,0
statichigh,20,1M,h2,6,1048576,6.0,15,1,452.1623,449.541,11.3181,466.1551,18.5623,18.6604,0.4323,18.8467,445.4358,443.03,11.3107,459.4845,0.0,0,0.0,0.0,9.9841,9.972,0.0716,10.0826,24.0,24,0.0,24.0,33.5333,34,0.5164,34.0,0.0,0
statichigh,20,1M,h2,7,1048576,6.0,15,1,448.7011,449.443,2.0798,451.2156,18.6957,18.6645,0.0868,18.83,442.0087,442.833,2.0766,444.4894,0.0,0,0.0,0.0,10.0976,10.089,0.1484,10.279,24.0,24,0.0,24.0,33.3333,33,0.488,34.0,0.0,0
statichigh,20,1M,h2,8,1048576,6.0,15,1,453.1359,452.112,2.3808,457.3258,18.5128,18.5543,0.0965,18.5877,446.3847,445.325,2.3704,450.5855,0.0,0,0.0,0.0,10.0563,10.057,0.0606,10.1409,24.0,24,0.0,24.0,33.4667,33,0.6399,34.3,0.0,0
statichigh,20,1M,h2,9,1048576,6.0,15,1,448.7607,448.695,1.6862,450.9867,18.6931,18.6956,0.0703,18.8045,442.0796,442.043,1.6297,444.2863,0.0,0,0.0,0.0,10.1373,10.105,0.146,10.4054,24.0,24,0.0,24.0,33.5333,34,0.5164,34.0,0.0,0
statichigh,20,1M,h2,10,1048576,6.0,15,1,448.1603,448.572,1.7232,450.3444,18.7181,18.7007,0.0721,18.8318,441.7347,442.109,1.6758,443.7126,0.0,0,0.0,0.0,10.0598,10.073,0.0629,10.1179,24.0,24,0.0,24.0,33.6667,34,0.488,34.0,0.0,0
statichigh,20,1M,h3,1,1048576,22.0,15,1,496.6642,496.424,3.1628,502.9955,16.8905,16.8981,0.1068,17.0158,471.8346,471.155,3.2325,478.642,0.0,0,0.0,0.0,25.2933,25.171,0.5118,25.7971,24.0,24,0.0,24.0,50.8,47,15.2793,64.7,0.0,0
statichigh,20,1M,h3,2,1048576,22.0,15,1,496.7187,495.055,9.0833,507.0772,16.893,16.9448,0.2929,17.1015,471.8267,469.737,9.1322,482.209,0.0,0,0.0,0.0,25.2797,25.185,0.2796,25.749,24.0,24,0.0,24.0,48.4667,47,5.6804,53.6,0.0,0
statichigh,20,1M,h3,3,1048576,22.0,15,1,496.5306,495.876,5.8906,509.2147,16.8966,16.9167,0.1977,17.1132,471.7623,471.152,6.2558,484.0392,0.0,0,0.0,0.0,25.5139,25.185,0.9648,27.3553,24.0,24,0.0,24.0,50.9333,47,15.2337,64.7,0.0,0
statichigh,20,1M,h3,4,1048576,22.0,15,1,496.1825,493.337,9.0844,508.1151,16.9113,17.0038,0.2956,17.1503,471.3955,469.128,8.9427,482.2928,0.0,0,0.0,0.0,25.2747,25.195,0.2778,25.8742,24.0,24,0.0,24.0,48.5333,47,5.9386,53.9,0.0,0
statichigh,20,1M,h3,5,1048576,22.0,15,1,493.6388,493.901,2.6594,497.2134,16.9939,16.9844,0.0917,17.1209,468.1715,468.313,2.2712,470.9122,0.0,0,0.0,0.0,25.1867,25.189,0.0529,25.2533,24.0,24,0.0,24.0,47.0,47,0.0,47.0,0.0,0
statichigh,20,1M,h3,6,1048576,22.0,15,1,497.4923,495.087,10.6854,513.292,16.8686,16.9437,0.3412,17.0654,472.4304,469.437,10.5075,487.6743,0.0,0,0.0,0.0,25.2133,25.172,0.2462,25.5305,24.0,24,0.0,24.0,46.7333,47,0.7037,47.0,0.0,0
statichigh,20,1M,h3,7,1048576,22.0,15,1,493.9694,494.064,3.1596,497.0029,16.9827,16.9788,0.1092,17.1917,468.7515,469.06,2.282,471.2217,0.0,0,0.0,0.0,25.1983,25.174,0.119,25.3381,24.0,24,0.0,24.0,48.4,47,5.9976,53.9,0.0,0
statichigh,20,1M,h3,8,1048576,22.0,15,1,497.1997,497.183,1.7767,500.0053,16.8719,16.8723,0.0602,16.9523,471.8109,471.658,1.325,473.6677,0.0,0,0.0,0.0,25.3544,25.193,0.3644,26.0688,24.0,24,0.0,24.0,51.4667,47,9.2495,69.3,0.0,0
statichigh,20,1M,h3,9,1048576,22.0,15,1,493.7105,492.927,2.1056,497.0011,16.9912,17.018,0.0723,17.0807,468.1447,468.207,2.0767,470.8488,0.0,0,0.0,0.0,25.2007,25.193,0.0882,25.3118,24.0,24,0.0,24.0,46.9333,47,0.2582,47.0,0.0,0
statichigh,20,1M,h3,10,1048576,22.0,15,1,492.9392,493.34,2.3838,495.5393,17.0179,17.0037,0.0829,17.1599,467.8448,468.309,2.0426,470.2526,0.0,0,0.0,0.0,25.2648,25.184,0.3825,25.6636,24.0,24,0.0,24.0,50.9333,47,15.2337,64.7,0.0,0
